2021-02-03 16:40:56 - PHP Warning:  mkdir(): File exists in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 54
2021-02-03 16:40:57 - PHP Warning:  mkdir(): File exists in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 54
2021-02-03 16:40:57 - PHP Warning:  rename(C:\xampp\htdocs\opencart-3.0.3.7\system\storage\cache\template\8e\8ed56BE.tmp,C:/xampp/htdocs/opencart-3.0.3.7/system/storage/cache/template/8e/8edb4e13672148a4bfb8122120a41208f54697d1edf35b52dbf811fe4899533b.php): Access is denied (code: 5) in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 65
2021-02-04 11:06:50 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-02-04 11:07:16 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-02-04 11:07:18 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2023-09-21 15:43:28 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:43:28 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:43:38 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:45:02 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:45:06 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:45:12 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:45:13 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:45:14 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:58:31 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:58:36 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:58:39 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:58:45 - PHP Unknown:  Unparenthesized `a ? b : c ? d : e` is deprecated. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in C:\OSPanel\domains\test\system\library\cartsms\extensions\src\Customers.php on line 162
2023-09-21 15:59:34 - PHP Notice:  Undefined index: name in C:\OSPanel\domains\test\admin\model\setting\module.php on line 4
